Tabela 1.2.1.1 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o equipamento utilizado para acessar a Internet - 2015;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Tabela 1.2.1.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o equipamento utilizado para acessar a Internet - 2015;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Tabela 1.2.2.1 - Rendimento médio mensal domiciliar per capita das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o equipamento utilizado para acessar a Internet - 2015 ;Tabela 1.2.2.2 - Rendimento mediano mensal domiciliar per capita das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o equipamento utilizado para acessar a Internet - 2015 ;Tabela 1.2.3 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, total e por microcomputador, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;Tabela 1.2.4 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, total e por microcomputador ou tablet, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ;Tabela 1.2.5 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, total e por telefone móvel celular, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;Tabela 1.2.6 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, total e por telefone móvel celular ou tablet, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 
;;;;;;;;;;;;;;;;;;;
Equipamento utilizado para acessar a Internet;Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas);;;;;;Equipamento utilizado para acessar a Internet;Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%);;;;;;;;;;;
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;;;;;
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;;;;
Total;102083.09;6715.311;21831.084;49246.983;15758.972;8530.74;Total;100;100;100;100;100;100;;;;;;
Microcomputador;;;;;;;Microcomputador;;;;;;;;;;;;
Utilizaram;72607.984;3521.63;13576.777;37287.623;12259.275;5962.679;Utilizaram;71.1;52.4;62.2;75.7;77.8;69.9;;;;;;
Somente microcomputador;11079.97;517.152;2240.19;5381.824;2286.373;654.431;Somente microcomputador;10.9;7.7;10.3;10.9;14.5;7.7;;;;;;
Não utilizaram;29475.106;3193.681;8254.307;11959.36;3499.697;2568.061;Não utilizaram;28.9;47.6;37.8;24.3;22.2;30.1;;;;;;
Telefone móvel celular ou tablet;;;;;;;Telefone móvel celular ou tablet;;;;;;;;;;;;
Utilizaram;90484.87;6157.441;19498.521;43615.666;13379.47;7833.772;Utilizaram;88.6;91.7;89.3;88.6;84.9;91.8;;;;;;
Somente telefone móvel celular ou tablet;28765.132;3143.926;8118.023;11609.297;3389.642;2504.244;Somente telefone móvel celular ou tablet;28.2;46.8;37.2;23.6;21.5;29.4;;;;;;
Não utilizaram;11598.22;557.87;2332.563;5631.317;2379.502;696.968;Não utilizaram;11.4;8.3;10.7;11.4;15.1;8.2;;;;;;
Telefone móvel celular;;;;;;;Telefone móvel celular;;;;;;;;;;;;
